scientific_name	rank	non_taxonomic_group	comment1	exclude_scientific_name	rank_of_excluded_scientific_name	comment2
Cyanophyceae	Class	Cyanobacteria		Phaeophyceae	Class	Brown algae (macroalgae)
Bacillariophyceae	Class	Diatoms		Tracheophyta	Phylum	Higher plants
Dinophyceae	Class	Dinoflagellates		Charales	Order	Kransalger, flercelliga
Bolidophyceae	Class	Other microalgae				
Charophyceae	Class	Other microalgae				
Chlorophyceae	Class	Other microalgae				
Chrysophyceae	Class	Other microalgae				
Coleochaetophyceae	Class	Other microalgae				
Cryptophyceae	Class	Other microalgae				
Cryptophyta	Phylum	Other microalgae				
Dictyochophyceae	Class	Other microalgae				
Euglenoidea	Class	Other microalgae				
Euglenophyceae	Class	Other microalgae				
Picozoa	Phylum	Protozoa				
Eustigmatophyceae	Class	Other microalgae				
Klebsormidiophyceae	Class	Other microalgae				
Mamiellophyceae	Class	Other microalgae				
Mesostigmatophyceae	Class	Other microalgae				
Nephroselmidophyceae	Class	Other microalgae				
Pelagophyceae	Class	Other microalgae				
Prasinophyceae	Class	Other microalgae				
Prymnesiophyceae	Class	Other microalgae				
Raphidophyceae	Class	Other microalgae				
Synurophyceae	Class	Other microalgae				
Trebouxiophyceae	Class	Other microalgae				
Tribophyceae	Class	Other microalgae				
Ulvophyceae	Class	Other microalgae				
Xanthophyceae	Class	Other microalgae				
Zygnematophyceae	Class	Other microalgae				
Amoebozoa	Phylum	Protozoa				
Choanoflagellidea	Class	Protozoa				
Choanozoa	Phylum	Protozoa				
Ciliophora	Phylum	Ciliates				
Ebriophyceae	Class	Protozoa				
Ellobiopsea	Class	Protozoa				
Heterokontophyta, ordines incertae sedis	Class	Protozoa				
Katablepharidophyceae	Class	Protozoa				
Litostomatea	Class	Protozoa				
Oligohymenophorea	Class	Protozoa				
Oligotrichea	Class	Protozoa				
Prostomatea	Class	Protozoa				
Protozoa classis incertae sedis	Class	Protozoa				
Sarcomastigota	Phylum	Protozoa				
Foraminifera	Phylum	Protozoa				
Acantharia 	Class	Protozoa				
Porphyridiophyceae	Class	Other microalgae				
Rhodellophyceae	Class	Other microalgae				
Bicoecea	Class	Protozoa				
Parabodonida 	Order	Protozoa				
Cercozoa	Phylum	Protozoa				
Foraminifera	Phylum	Protozoa				
Radiozoa	Phylum	Protozoa				
Choanozoa	Phylum	Protozoa				
Synurophyceae	Class	Other microalgae				
Xanthophyceae 	Class	Other microalgae				
Chrysoparadoxophyceae 	Class	Other microalgae				

