scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Leegaardiella ovalis	Species	101206	Leegaardiella	101179	Lynn & Montagnes, 1988	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella ovalis
Leegaardiella sol	Species	101207	Leegaardiella	101179	Lynn & Montagnes, 1988	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella sol
Lohmanniella oviformis	Species	101209	Lohmanniella	101180	Leegaard, 1915	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
Strobilidium spiralis	Species	101236	Strobilidium	101185	(Leegaard, 1915) Lynn & Montagnes, 1988	unaccepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Strobilidium - [Species] Strobilidium spiralis
Laboea strobila	Species	101264	Laboea	101190	Lohmann, 1908	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea - [Species] Laboea strobila
Strombidium capitatum	Species	101282	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium capitatum
Strombidium compressum	Species	101287	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium compressum
Strombidium conicoides	Species	101288	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	nomen dubium	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicoides
Strombidium conicum	Species	101289	Strombidium	101195	(Lohmann, 1908) Wulff, 1919	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicum
Strombidium constrictum	Species	101290	Strombidium	101195	(Meunier, 1910) Wulff, 1919	unaccepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium constrictum
